image_name,label
202.jpg,3
203.jpg,1
204.jpg,3
205.jpg,1
206.jpg,4
207.jpg,2
208.jpg,5
209.jpg,1
210.jpg,3
211.jpg,0
212.jpg,2
213.jpg,3
214.jpg,3
215.jpg,2
216.jpg,1
217.jpg,1
218.jpg,1
219.jpg,3
220.jpg,3
221.jpg,3
222.jpg,5
223.jpg,4
224.jpg,1
225.jpg,3
226.jpg,2
227.jpg,3
228.jpg,2
229.jpg,1
230.jpg,5
231.jpg,0
232.jpg,4
233.jpg,2
234.jpg,3
235.jpg,3
236.jpg,3
237.jpg,1
238.jpg,0
239.jpg,3
240.jpg,5
241.jpg,1
242.jpg,3
243.jpg,1
244.jpg,1
245.jpg,0
246.jpg,4
247.jpg,1
248.jpg,1
249.jpg,5
250.jpg,4
251.jpg,1
252.jpg,1
253.jpg,5
254.jpg,4
255.jpg,0
256.jpg,4
257.jpg,4
258.jpg,4
259.jpg,3
260.jpg,4
261.jpg,0
262.jpg,3
263.jpg,4
264.jpg,4
265.jpg,1
266.jpg,3
267.jpg,1
268.jpg,3
269.jpg,5
270.jpg,4
271.jpg,5
272.jpg,5
273.jpg,1
274.jpg,2
275.jpg,4
276.jpg,1
277.jpg,5
278.jpg,4
279.jpg,5
280.jpg,1
281.jpg,4
282.jpg,5
283.jpg,4
284.jpg,0
285.jpg,5
286.jpg,3
287.jpg,3
288.jpg,1
289.jpg,2
290.jpg,0
291.jpg,2
292.jpg,1
293.jpg,5
294.jpg,2
295.jpg,2
296.jpg,1
297.jpg,3
298.jpg,5
299.jpg,5
300.jpg,2
301.jpg,4
